"sampleID","antibodyID","antibody_count","counts_subsampled","count_scaled","treatment","uniquenr","treatment_uniquenr","sample_folder","well_name","plate_row","plate_column","Ab_name","Ab_barcode_nr"
"plate_2_204","ITGB1_98",33181,3615,0.595255386105059,"vehicle",66,"vehicle_66","plate_2",204,"E",6,"ITGB1",98
"plate_3_204","ITGB1_98",51031,4856,0.895666908738804,"vehicle",67,"vehicle_67","plate_3",204,"E",6,"ITGB1",98
"plate_5_204","ITGB1_98",37837,4295,0.759864439603002,"vehicle",68,"vehicle_68","plate_5",204,"E",6,"ITGB1",98
"plate_6_204","ITGB1_98",3318,1845,0.166787702735415,"AG1478",101,"AG1478_101","plate_6",204,"E",6,"ITGB1",98
"plate_2_210","ITGB1_98",9631,2874,0.415879932219802,"AG1478",102,"AG1478_102","plate_2",210,"E",12,"ITGB1",98
"plate_3_210","ITGB1_98",8404,3176,0.488985717743888,"AG1478",103,"AG1478_103","plate_3",210,"E",12,"ITGB1",98
"plate_4_210","ITGB1_98",26017,4715,0.861534737351731,"vehicle",69,"vehicle_69","plate_4",210,"E",12,"ITGB1",98
"plate_5_210","ITGB1_98",9488,2413,0.304284676833696,"AG1478",104,"AG1478_104","plate_5",210,"E",12,"ITGB1",98
"plate_6_210","ITGB1_98",14164,4062,0.703461631566207,"vehicle",70,"vehicle_70","plate_6",210,"E",12,"ITGB1",98
"plate_1_224","ITGB1_98",4879,1478,0.0779472282740257,"AG1478",105,"AG1478_105","plate_1",224,"G",2,"ITGB1",98
"plate_2_224","ITGB1_98",13604,3687,0.612684580004841,"vehicle",71,"vehicle_71","plate_2",224,"G",2,"ITGB1",98
"plate_6_224","ITGB1_98",26934,4389,0.782619220527717,"vehicle",72,"vehicle_72","plate_6",224,"G",2,"ITGB1",98
"plate_2_228","ITGB1_98",12314,2348,0.288549987896393,"AG1478",106,"AG1478_106","plate_2",228,"G",6,"ITGB1",98
"plate_4_228","ITGB1_98",31549,3896,0.663277656741709,"vehicle",73,"vehicle_73","plate_4",228,"G",6,"ITGB1",98
"plate_5_228","ITGB1_98",6842,3531,0.574921326555313,"vehicle",74,"vehicle_74","plate_5",228,"G",6,"ITGB1",98
"plate_6_228","ITGB1_98",15453,4159,0.726942628903413,"vehicle",75,"vehicle_75","plate_6",228,"G",6,"ITGB1",98
"plate_2_201","ITGB1_98",2625,2174,0.24642943597192,"AG1478",107,"AG1478_107","plate_2",201,"E",3,"ITGB1",98
"plate_4_201","ITGB1_98",4556,2507,0.327039457758412,"AG1478",108,"AG1478_108","plate_4",201,"E",3,"ITGB1",98
"plate_5_201","ITGB1_98",9736,3363,0.534253207455822,"AG1478",109,"AG1478_109","plate_5",201,"E",3,"ITGB1",98
"plate_6_201","ITGB1_98",7263,2807,0.399661099007504,"AG1478",110,"AG1478_110","plate_6",201,"E",3,"ITGB1",98
"plate_1_211","ITGB1_98",13870,2943,0.432582909707093,"AG1478",111,"AG1478_111","plate_1",211,"F",1,"ITGB1",98
"plate_2_211","ITGB1_98",32200,3474,0.561123214717986,"vehicle",76,"vehicle_76","plate_2",211,"F",1,"ITGB1",98
"plate_4_211","ITGB1_98",19246,4021,0.693536673928831,"vehicle",77,"vehicle_77","plate_4",211,"F",1,"ITGB1",98
"plate_2_220","ITGB1_98",9960,2333,0.284918905833939,"AG1478",112,"AG1478_112","plate_2",220,"F",10,"ITGB1",98
"plate_5_220","ITGB1_98",23845,4229,0.743887678528201,"vehicle",78,"vehicle_78","plate_5",220,"F",10,"ITGB1",98
"plate_6_220","ITGB1_98",11802,2815,0.40159767610748,"AG1478",113,"AG1478_113","plate_6",220,"F",10,"ITGB1",98
"plate_1_214","ITGB1_98",14931,2415,0.30476882110869,"AG1478",114,"AG1478_114","plate_1",214,"F",4,"ITGB1",98
"plate_2_214","ITGB1_98",14617,4154,0.725732268215928,"vehicle",79,"vehicle_79","plate_2",214,"F",4,"ITGB1",98
"plate_5_214","ITGB1_98",4181,1897,0.179375453885258,"AG1478",115,"AG1478_115","plate_5",214,"F",4,"ITGB1",98
"plate_2_202","ITGB1_98",10001,2787,0.394819656257565,"AG1478",116,"AG1478_116","plate_2",202,"E",4,"ITGB1",98
"plate_4_202","ITGB1_98",10123,3830,0.647300895666909,"vehicle",80,"vehicle_80","plate_4",202,"E",4,"ITGB1",98
"plate_5_202","ITGB1_98",15189,3828,0.646816751391915,"vehicle",81,"vehicle_81","plate_5",202,"E",4,"ITGB1",98
"plate_3_218","ITGB1_98",6837,2766,0.389736141370128,"AG1478",117,"AG1478_117","plate_3",218,"F",8,"ITGB1",98
"plate_5_218","ITGB1_98",21346,3880,0.659404502541757,"vehicle",82,"vehicle_82","plate_5",218,"F",8,"ITGB1",98
